!
! 18-DEC-2018 16:15:02
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area -13.5 6 /OUTPUT smm3_co65_blue.txt
!
 650    153.264   -148.200   7.4254    
 651    158.064   -148.200   10.198    
 652    162.864   -148.200   9.9206    
 653    167.664   -148.200   9.6823    
 654    172.464   -148.200   6.3064    
 655    177.264   -148.200   4.6719    
 656    182.064   -148.200   3.2288    
 657    186.864   -148.200   3.7303    
 658    191.664   -148.200   3.0501    
 659    196.464   -148.200   2.0755    
 660    201.264   -148.200   4.0941    
 661    206.064   -148.200   2.2070    
 662    210.864   -148.200 -2.44347E-02
 663    215.664   -148.200  0.86883    
 664    215.664   -143.400   5.4981    
 665    210.864   -143.400   5.8316    
 666    206.064   -143.400   10.339    
 667    201.264   -143.400   3.5855    
 668    196.464   -143.400   4.6773    
 669    191.664   -143.400 -0.62016    
 670    186.864   -143.400   3.0131    
 671    182.064   -143.400   3.3146    
 672    177.264   -143.400   6.1567    
 673    172.464   -143.400   5.3642    
 674    167.664   -143.400   8.7066    
 675    162.864   -143.400   11.786    
 676    158.064   -143.400   9.5751    
 677    153.264   -143.400   8.0677    
 678    148.464   -143.400   8.2454    
 679    143.664   -143.400   8.7447    
 680    138.864   -143.400   12.140    
 681    134.064   -143.400   5.0044    
 682    129.264   -143.400   6.2789    
 683    124.464   -143.400   5.6630    
 684    119.664   -143.400   4.5261    
 685    114.864   -143.400   2.0073    
 686    110.064   -143.400   7.0671    
 687    105.264   -143.400   6.6189    
 688    100.464   -143.400   7.0801    
 689     95.664   -143.400   5.7842    
 690     90.864   -143.400   6.6670    
 691     86.064   -143.400   3.7988    
 692     81.264   -143.400   1.5796    
 693     76.464   -143.400   2.4656    
 694     71.664   -143.400   1.1796    
 695     66.864   -143.400 -0.50566    
 696     62.064   -143.400  0.81137    
 697     57.264   -143.400   2.8079    
 698     52.464   -143.400   1.9716    
 699     47.664   -143.400  -1.6779    
 700     42.864   -143.400   1.6563    
 701     38.064   -143.400 -0.11908    
 702     33.264   -143.400  -2.9490    
 703     28.464   -143.400 -0.20056    
 704     23.664   -143.400  0.54077    
 705     18.864   -143.400   3.1099    
 706     14.064   -143.400  0.85646    
 707      9.264   -143.400  -2.4366    
 708      4.464   -143.400 -0.25441    
 709     -0.336   -143.400  0.39451    
 710     -5.136   -143.400  0.40397    
 711     -9.936   -143.400   3.5521    
 712    -14.736   -138.600  0.54917    
 713     -9.936   -138.600  0.55584    
 714     -5.136   -138.600   2.1332    
 715     -0.336   -138.600  0.55950    
 716      4.464   -138.600  -3.8133    
 717      9.264   -138.600   3.1074    
 718     14.064   -138.600   2.8842    
 719     18.864   -138.600   1.6003    
 720     23.664   -138.600  -1.0950    
 721     28.464   -138.600   2.1818    
 722     33.264   -138.600  -1.5836    
 723     38.064   -138.600 -0.48467    
 724     42.864   -138.600   4.5195    
 725     47.664   -138.600  0.50948    
 726     52.464   -138.600   3.2685    
 727     57.264   -138.600   3.1455    
 728     62.064   -138.600   1.5703    
 729     66.864   -138.600   2.0363    
 730     71.664   -138.600   3.8411    
 731     76.464   -138.600   1.7933    
 732     81.264   -138.600   1.6735    
 733     86.064   -138.600   2.0427    
 734     90.864   -138.600   1.6282    
 735     95.664   -138.600   6.3469    
 736    100.464   -138.600   8.0131    
 737    105.264   -138.600   7.9297    
 738    110.064   -138.600   2.6154    
 739    114.864   -138.600   6.7523    
 740    119.664   -138.600   3.6170    
 741    124.464   -138.600   5.1464    
 742    129.264   -138.600   3.6031    
 743    134.064   -138.600   5.0431    
 744    138.864   -138.600   7.8837    
