!
! 02-MAY-2019 21:54:14
! Input file  : serpens_h13cn10_red.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 563  *********   4407.700   1.8672    
 564  *********   4407.700   3.3491    
 565  *********   4407.700   2.8623    
 566  *********   4407.700   1.0379    
 567  *********   4407.700   2.2848    
 568  *********   4407.700 -9.37757E-02
 569  *********   4407.700  0.77684    
 570  *********   4407.700  -1.0167    
 571  *********   4407.700   1.2072    
 572  *********   4407.700   1.8227    
 573  *********   4407.700 -0.98432    
 574  *********   4407.700 -0.66509    
 575  *********   4407.700  -1.1586    
 576  *********   4407.700   1.6841    
 577  *********   4407.700   1.0010    
 578  *********   4407.700  -1.1891    
 579  *********   4427.700  0.93494    
 580  *********   4427.700   2.2955    
 581  *********   4427.700   1.9228    
 582  *********   4427.700   1.6799    
 583  *********   4427.700   2.2882    
 584  *********   4427.700   2.2221    
 585  *********   4427.700   4.4504    
 586  *********   4427.700  0.32177    
 587  *********   4427.700   2.1852    
 588  *********   4427.700 -0.46529    
 589  *********   4427.700   1.6651    
 590  *********   4427.700   2.3121    
 591  *********   4427.700  0.91678    
 592  *********   4427.700   3.3120    
 593  *********   4427.700   1.2991    
 594  *********   4427.700   1.9336    
 595  *********   4427.700   1.1765    
 596  *********   4427.700   3.4903    
 597  *********   4427.700   2.0721    
 598  *********   4427.700   2.1882    
 599  *********   4427.700   2.1746    
 600  *********   4427.700  0.54363    
 601  *********   4427.700   3.4640    
 602  *********   4427.700   1.1036    
 603  *********   4427.700   1.7037    
 604  *********   4427.700  0.23739    
 605  *********   4427.700   2.3412    
 606  *********   4427.700   1.5076    
 607  *********   4427.700   3.4578    
 608  *********   4427.700 -0.67286    
 609  *********   4427.700 -0.14966    
 610  *********   4427.700   1.5641    
 611  *********   4427.700 -0.63899    
 612  *********   4427.700 -0.72510    
 613  *********   4427.700  0.34084    
 614  *********   4427.700   2.4684    
 615  *********   4427.700   2.1303    
 616  *********   4427.700  0.99908    
 617  *********   4427.700   3.0127    
 618  *********   4427.700 -9.26853E-03
 619  *********   4427.700 -0.77155    
 620  *********   4427.700   1.2414    
 621  *********   4427.700 -0.39144    
 622  *********   4427.700 -0.33238    
 623  *********   4427.700  0.60703    
 624  *********   4427.700   1.6568    
 625  *********   4427.700  0.75896    
 626  *********   4427.700   1.9216    
 627  *********   4427.700  0.89017    
 628  *********   4427.700  -1.1276    
 629  *********   4427.700 -0.10993    
 630  *********   4427.700   1.8802    
 631  *********   4427.700  0.10187    
 632  *********   4427.700 -0.36824    
 633  *********   4427.700 -0.40466    
 634  *********   4427.700  0.54099    
 635  *********   4427.700 -0.29249    
 636  *********   4427.700  5.33102E-02
 637  *********   4427.700  0.45317    
 638  *********   4447.700  0.29871    
 639  *********   4447.700  -1.2621    
 640  *********   4447.700  0.59668    
 641  *********   4447.700 -0.35460    
 642  *********   4447.700  -1.1259    
 643  *********   4447.700  0.33530    
 644  *********   4447.700 -0.74009    
 645  *********   4447.700   1.8009    
 646  *********   4447.700   1.4785    
 647  *********   4447.700  4.07050E-02
 648  *********   4447.700   2.3040    
 649  *********   4447.700  0.40589    
 650  *********   4447.700   2.2653    
 651  *********   4447.700  0.84291    
 652  *********   4447.700   2.5654    
 653  *********   4447.700   3.1899    
 654  *********   4447.700  4.42629E-02
 655  *********   4447.700  0.85119    
 656  *********   4447.700   1.5676    
 657  *********   4447.700   2.1376    
 658  *********   4447.700  0.87343    
 659  *********   4447.700  0.10065    
 660  *********   4447.700  0.98304    
 661  *********   4447.700   1.5935    
 662  *********   4447.700   2.6758    
 663  *********   4447.700   1.0762    
 664  *********   4447.700  0.98702    
 665  *********   4447.700 -0.24620    
 666  *********   4447.700 -0.26839    
 667  *********   4447.700  0.85573    
 668  *********   4447.700   1.8485    
 669  *********   4447.700   2.9034    
 670  *********   4447.700   1.9875    
 671  *********   4447.700   2.2646    
 672  *********   4447.700   2.9041    
 673  *********   4447.700  6.30432E-02
 674  *********   4447.700   2.0535    
 675  *********   4447.700 -0.60696    
 676  *********   4447.700  0.69162    
 677  *********   4447.700   2.2364    
 678  *********   4447.700 -0.28844    
 679  *********   4447.700   1.0442    
 680  *********   4447.700  -1.1609    
 681  *********   4447.700   1.5944    
 682  *********   4447.700  0.32803    
 683  *********   4447.700   2.6033    
 684  *********   4447.700 -0.57837    
 685  *********   4447.700 -0.44779    
 686  *********   4447.700 -0.99366    
 687  *********   4447.700   2.0518    
 688  *********   4447.700  0.34804    
 689  *********   4447.700 -0.19425    
 690  *********   4447.700 -0.13632    
 691  *********   4447.700 -0.61916    
 692  *********   4447.700 -0.24289    
 693  *********   4447.700   1.7330    
 694  *********   4447.700   2.4253    
 695  *********   4467.700   1.6225    
 696  *********   4467.700  -1.4206    
 697  *********   4467.700   1.2985    
 698  *********   4467.700  2.58620E-02
 699  *********   4467.700 -0.37877    
 700  *********   4467.700 -0.74563    
 701  *********   4467.700   1.3697    
 702  *********   4467.700 -0.62198    
 703  *********   4467.700  0.97183    
 704  *********   4467.700  -1.1572    
 705  *********   4467.700  -1.2335    
 706  *********   4467.700  0.99428    
 707  *********   4467.700 -0.42071    
 708  *********   4467.700   1.2885    
 709  *********   4467.700  0.49740    
 710  *********   4467.700  -1.7697    
 711  *********   4467.700 -0.36937    
 712  *********   4467.700  5.87033E-02
 713  *********   4467.700  -2.6955    
 714  *********   4467.700 -0.24043    
 715  *********   4467.700 -0.42544    
 716  *********   4467.700  0.13231    
 717  *********   4467.700  -1.2121    
 718  *********   4467.700  0.32850    
 719  *********   4467.700 -0.23538    
 720  *********   4467.700  0.57637    
 721  *********   4467.700 -0.41166    
 722  *********   4467.700 -0.70958    
 723  *********   4467.700  -1.9088    
 724  *********   4467.700  -1.3183    
 725  *********   4467.700 -0.57159    
 726  *********   4467.700   1.1118    
 727  *********   4467.700   2.4778    
 728  *********   4467.700   2.1382    
 729  *********   4467.700   1.3515    
 730  *********   4467.700   2.0678    
 731  *********   4467.700   2.1019    
 732  *********   4467.700  0.86412    
 733  *********   4467.700   2.5858    
 734  *********   4467.700  0.93680    
 735  *********   4467.700  6.05004E-02
 736  *********   4467.700  1.88244E-02
 737  *********   4467.700  0.74424    
 738  *********   4467.700 -0.78354    
 739  *********   4467.700   1.0652    
 740  *********   4467.700  0.99928    
 741  *********   4467.700  0.14922    
 742  *********   4467.700  0.56927    
 743  *********   4467.700  0.11295    
 744  *********   4467.700 -0.97354    
 745  *********   4467.700  -1.9383    
 746  *********   4467.700 -2.42025E-02
 747  *********   4467.700   1.3638    
 748  *********   4467.700   1.3473    
 749  *********   4467.700   1.5275    
 750  *********   4467.700  -1.7100    
 751  *********   4467.700  -1.7216    
 752  *********   4467.700 -0.76123    
 753  *********   4467.700  7.53986E-02
 754  *********   4487.700   1.5692    
 755  *********   4487.700   1.4433    
 756  *********   4487.700 -0.82446    
 757  *********   4487.700  0.21894    
 758  *********   4487.700 -0.45653    
 759  *********   4487.700  -1.5258    
 760  *********   4487.700   1.7494    
 761  *********   4487.700  -1.0277    
 762  *********   4487.700  -1.4786    
 763  *********   4487.700  0.98495    
 764  *********   4487.700  -1.0665    
 765  *********   4487.700  -1.3056    
 766  *********   4487.700 -4.88060E-02
 767  *********   4487.700   1.5226    
 768  *********   4487.700  -1.7390    
 769  *********   4487.700  0.76288    
 770  *********   4487.700  0.39077    
 771  *********   4487.700   1.1292    
 772  *********   4487.700  0.31687    
 773  *********   4487.700  0.21372    
 774  *********   4487.700   1.2331    
 775  *********   4487.700  0.49960    
 776  *********   4487.700   1.7298    
 777  *********   4487.700  0.62788    
 778  *********   4487.700   1.5450    
