!
! 05-JAN-2020 19:43:15
! Input file  : ngc1333_cs32_conv.30m
! Input command: ANALYSE\PRINT area -18.6 -7.2 /OUTPUT ngc1333_cs32_int.txt
!
 715    141.720    -18.203   5.2965    
 716    150.520    -18.203   4.9123    
 717    159.320    -18.203   5.1957    
 718    168.120    -18.203   4.7830    
 719    176.920    -18.203   4.6716    
 720    185.720    -18.203   4.8910    
 721    194.520    -18.203   5.3192    
 722    203.320    -18.203   5.8472    
 723    212.120    -18.203   5.1329    
 724    220.920    -18.203   4.7600    
 725    229.720    -18.203   4.6642    
 726    238.520    -18.203   3.6228    
 727    247.320    -18.203   2.4867    
 728    256.120    -18.203   1.8987    
 729    264.920    -18.203   1.5105    
 730    273.720    -18.203  0.96379    
 731    282.520    -18.203  0.64694    
 732    291.320    -18.203  4.60924E-02
 733    300.120    -18.203  0.67144    
 734    308.920    -18.203  0.24614    
