!
! 15-AUG-2019 20:26:28
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -88.7 -86.9 /OUTPUT ngc1333_cn10_int_5.txt
!
 575     56.670     69.697  7.98970E-02
 576     42.020     69.697  4.47052E-02
 577     27.370     69.697  7.26839E-02
 578     12.720     69.697  2.51445E-02
 579     -1.930     69.697  7.13428E-02
 580    -16.580     69.697  2.40305E-02
 581    -31.230     69.697 -1.52412E-02
 582    -45.880     69.697 -5.26655E-02
 583    -60.530     69.697 -6.66151E-02
 584    -75.180     69.697  0.29440    
 585    -89.830     69.697  0.39732    
 586   -104.480     69.697  0.20034    
 587   -119.130     69.697  7.98867E-02
 588   -133.780     69.697  0.10322    
 589   -148.430     69.697  0.13201    
 590   -163.080     69.697  0.10545    
 591   -177.730     69.697  0.22305    
 592   -192.380     69.697  0.26700    
 593   -207.030     69.697  0.24360    
 594   -207.030     84.347  0.24940    
 595   -192.380     84.347  0.26931    
 596   -177.730     84.347  0.22406    
 597   -163.080     84.347  0.10509    
 598   -148.430     84.347  0.13197    
 599   -133.780     84.347  0.10291    
 600   -119.130     84.347  7.89132E-02
 601   -104.480     84.347  0.25036    
 602    -89.830     84.347  0.44929    
 603    -75.180     84.347 -6.02508E-02
 604    -60.530     84.347 -8.81648E-02
 605    -45.880     84.347  5.68453E-03
 606    -31.230     84.347  6.61669E-02
 607    -16.580     84.347  1.90368E-02
 608     -1.930     84.347  4.63059E-02
 609     12.720     84.347  5.54437E-02
 610     27.370     84.347  7.83206E-02
 611     42.020     84.347  4.87205E-02
 612     56.670     84.347  0.20530    
 613     71.320     84.347  0.27113    
 614     85.970     84.347  0.33100    
 615    100.620     84.347  0.28688    
 616    115.270     84.347  0.20810    
 617    129.920     84.347  0.16701    
 618    144.570     84.347  0.17372    
 619    159.220     84.347  0.21535    
 620    173.870     84.347  0.30726    
 621    188.520     84.347  0.31002    
 622    203.170     84.347 -9.09908E-02
 623    217.820     84.347 -0.22415    
 624    232.470     84.347 -0.17006    
 625    247.120     84.347 -4.93222E-02
 626    261.770     84.347 -9.58099E-02
 627    276.420     84.347 -1.40816E-02
 628    291.070     84.347  8.76347E-02
 629    305.720     84.347  0.13296    
 630    320.370     84.347  7.72939E-02
 631    335.020     84.347  0.10205    
 632    349.670     84.347  0.14766    
 633    364.320     84.347  0.18386    
 634    364.320     98.997  0.18460    
 635    349.670     98.997  0.14341    
 636    335.020     98.997  8.42413E-02
 637    320.370     98.997  3.65750E-02
 638    305.720     98.997  9.16028E-02
 639    291.070     98.997  6.80313E-02
 640    276.420     98.997 -3.67573E-02
 641    261.770     98.997 -0.16249    
 642    247.120     98.997 -8.82090E-02
 643    232.470     98.997 -0.24701    
 644    217.820     98.997 -0.35621    
 645    203.170     98.997 -0.19621    
 646    188.520     98.997  0.28378    
 647    173.870     98.997  0.27442    
 648    159.220     98.997  0.26444    
 649    144.570     98.997  0.15202    
 650    129.920     98.997  6.62810E-02
 651    115.270     98.997  8.82497E-02
 652    100.620     98.997  0.16792    
 653     85.970     98.997  0.16115    
 654     71.320     98.997  9.20873E-02
 655     56.670     98.997  0.11732    
 656     42.020     98.997  2.70854E-02
 657     27.370     98.997  5.21403E-02
 658     12.720     98.997  1.90945E-03
 659     -1.930     98.997 -1.51888E-02
 660    -16.580     98.997  6.14485E-02
 661    -31.230     98.997  1.06159E-02
 662    -45.880     98.997 -2.31973E-03
 663    -60.530     98.997 -9.51849E-03
 664    -75.180     98.997 -7.31229E-02
 665    -89.830     98.997  0.23432    
 666   -104.480     98.997  0.15925    
 667    -75.180    113.647 -3.62768E-02
 668    -60.530    113.647 -7.77529E-02
 669    -45.880    113.647 -0.17960    
 670    -31.230    113.647 -0.12668    
 671    -16.580    113.647  3.99212E-02
 672     -1.930    113.647 -0.11591    
 673     12.720    113.647 -0.11217    
 674     27.370    113.647  2.18941E-02
 675     42.020    113.647  9.56069E-02
 676     56.670    113.647  7.15475E-02
 677     71.320    113.647  3.27828E-02
 678     85.970    113.647 -4.01101E-02
 679    100.620    113.647  6.23149E-02
 680    115.270    113.647  3.62149E-02
 681    129.920    113.647 -3.55739E-02
 682    144.570    113.647  9.14656E-02
 683    159.220    113.647  0.19393    
 684    173.870    113.647  0.17816    
 685    188.520    113.647  0.11368    
 686    203.170    113.647  6.54838E-02
 687    217.820    113.647 -0.37624    
 688    232.470    113.647 -0.25883    
 689    247.120    113.647 -9.43266E-02
 690    261.770    113.647 -0.17302    
 691    276.420    113.647 -4.01028E-02
 692    291.070    113.647  6.54558E-02
 693    305.720    113.647  8.57175E-02
 694    320.370    113.647  3.09946E-02
 695    335.020    113.647  8.19542E-02
 696    349.670    113.647  0.14285    
 697    364.320    113.647  0.25929    
 698    349.670    128.297  0.25929    
 699    335.020    128.297  8.17224E-02
 700    320.370    128.297  3.01857E-02
 701    305.720    128.297  8.49620E-02
 702    291.070    128.297  6.51421E-02
 703    276.420    128.297 -4.05568E-02
 704    261.770    128.297 -0.17444    
 705    247.120    128.297 -9.51797E-02
 706    232.470    128.297 -0.26045    
 707    217.820    128.297 -0.23704    
 708    203.170    128.297 -0.16417    
 709    188.520    128.297 -0.16717    
 710    173.870    128.297 -5.28225E-02
 711    159.220    128.297  3.82021E-02
 712    144.570    128.297  0.14060    
 713    129.920    128.297  4.32598E-02
 714    115.270    128.297  8.99586E-02
 715    100.620    128.297  0.17923    
 716     85.970    128.297  5.65967E-02
 717     71.320    128.297  0.16665    
