!
! 15-AUG-2019 20:24:32
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -3.7 -1 /OUTPUT ngc1333_cn10_int_1.txt
!
 662    -45.880     98.997  0.35111    
 663    -60.530     98.997  0.44373    
 664    -75.180     98.997  0.49010    
 665    -89.830     98.997  0.59000    
 666   -104.480     98.997   1.7665    
 667    -75.180    113.647  0.52033    
 668    -60.530    113.647  0.43917    
 669    -45.880    113.647  0.38116    
 670    -31.230    113.647  0.36101    
 671    -16.580    113.647  0.17340    
 672     -1.930    113.647 -5.60991E-02
 673     12.720    113.647 -0.10111    
 674     27.370    113.647  0.48297    
 675     42.020    113.647 -0.14621    
 676     56.670    113.647 -2.89695E-02
 677     71.320    113.647  0.17500    
 678     85.970    113.647  0.39821    
 679    100.620    113.647  0.70095    
 680    115.270    113.647  0.75287    
 681    129.920    113.647  0.59996    
 682    144.570    113.647  0.58025    
 683    159.220    113.647  0.66029    
 684    173.870    113.647  0.77445    
 685    188.520    113.647  0.70069    
 686    203.170    113.647  0.53299    
 687    217.820    113.647  0.34238    
 688    232.470    113.647  0.19664    
 689    247.120    113.647  8.54613E-02
 690    261.770    113.647  0.25425    
 691    276.420    113.647  0.21931    
 692    291.070    113.647  0.21473    
 693    305.720    113.647  0.18055    
 694    320.370    113.647  0.22358    
 695    335.020    113.647  0.26062    
 696    349.670    113.647  0.31374    
 697    364.320    113.647  0.46213    
 698    349.670    128.297  0.46213    
 699    335.020    128.297  0.26182    
 700    320.370    128.297  0.22410    
 701    305.720    128.297  0.18046    
 702    291.070    128.297  0.21437    
 703    276.420    128.297  0.21876    
 704    261.770    128.297  0.25405    
 705    247.120    128.297  8.45623E-02
 706    232.470    128.297  0.19623    
 707    217.820    128.297  0.45956    
 708    203.170    128.297  0.73090    
 709    188.520    128.297  0.79123    
 710    173.870    128.297  0.72995    
 711    159.220    128.297  0.51407    
 712    144.570    128.297  0.43281    
 713    129.920    128.297  0.31693    
 714    115.270    128.297  0.53904    
 715    100.620    128.297  0.55205    
 716     85.970    128.297  0.39328    
 717     71.320    128.297  0.14470    
 718     56.670    128.297 -0.24387    
 719     42.020    128.297 -0.54673    
 720     27.370    128.297 -0.65446    
 721     12.720    128.297 -0.23246    
 722     -1.930    128.297 -9.86930E-02
 723    -16.580    128.297  0.18631    
 724    -31.230    128.297  0.43997    
 725    -45.880    128.297  0.45382    
 726    -60.530    128.297  0.46544    
