!
! 01-JUL-2019 22:53:53
! Input file  : spectraOdp.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 134934     12.867    -70.000   1.1483    
 134935      9.867    -70.000   1.8789    
 134936      6.867    -70.000   1.2564    
 134937      3.867    -70.000   1.2206    
 134938      0.867    -70.000   1.2512    
 134939     -2.133    -70.000  0.95038    
 134940     -5.133    -70.000   1.1195    
 134941     -8.133    -70.000   3.5911    
 134942    -11.133    -70.000   1.3739    
 134943    -14.133    -70.000  -1.3471    
 134944    -17.133    -70.000   2.9232    
 134945    -20.133    -70.000   1.8229    
 134946    -23.133    -70.000   1.6707    
 134947    -26.133    -70.000   1.2440    
 134948    -29.133    -70.000  0.70599    
 134949    -32.133    -70.000   1.5023    
 134950    -35.133    -70.000 -0.17858    
 134951    -38.133    -70.000   1.6400    
 134952    -41.133    -70.000   2.1027    
 134953    -44.133    -70.000 -0.16677    
 134954    -47.133    -70.000   2.1608    
 134955    -50.133    -70.000   1.5501    
 134956    -53.133    -70.000  0.71190    
 134957    -56.133    -70.000  3.42926E-02
 134958    -59.133    -70.000  0.78600    
 134959    -62.133    -70.000  0.63792    
 134960    -65.133    -70.000   2.0079    
 134961    -68.133    -70.000  0.58027    
 134962    -71.133    -70.000  0.62900    
 134963    -74.133    -70.000   1.3547    
 134964    -77.133    -70.000  0.20820    
 134965    -80.133    -70.000 -4.88491E-02
 134966    -87.867    -50.000  -2.2404    
 134967    -84.867    -50.000  0.48705    
 134968    -81.867    -50.000  0.37130    
 134969    -78.867    -50.000  6.88705E-02
 134970    -75.867    -50.000 -0.97942    
 134971    -72.867    -50.000  0.76311    
 134972    -69.867    -50.000  0.59069    
 134973    -66.867    -50.000  0.97804    
 134974    -63.867    -50.000 -0.73002    
 134975    -60.867    -50.000  0.88192    
 134976    -57.867    -50.000   1.4825    
 134977    -54.867    -50.000   1.5967    
 134978    -51.867    -50.000   1.4411    
 134979    -48.867    -50.000  0.16614    
 134980    -45.867    -50.000  0.82269    
 134981    -42.867    -50.000   1.0021    
 134982    -39.867    -50.000  -1.0657    
 134983    -36.867    -50.000  -1.8152    
 134984    -33.867    -50.000   1.7985    
 134985    -30.867    -50.000   2.5732    
 134986    -27.867    -50.000  0.38191    
 134987    -24.867    -50.000   2.0633    
 134988    -21.867    -50.000  0.73368    
 134989    -18.867    -50.000   1.9642    
